Cenário,Carteira 1,Carteira 2,Carteira 3,Carteira 4,Carteira 5,Carteira 6,Carteira 7,Carteira 8,Carteira 9,Carteira 10,Carteira 11,Carteira 12,Carteira 13,Carteira 14,Carteira 15,Carteira 16,Carteira 17,Carteira 18,Carteira 19,Carteira 20,Carteira 21,Carteira 22,Carteira 23,Carteira 24,Carteira 25,Carteira 26,Carteira 27,Carteira 28,Carteira 29,Carteira 30,Carteira 31,Carteira 32,Carteira 33,Carteira 34
1,0.09455543413471092,0.0940883852573018,0.18010327677111285,0.20502926116373477,0.18300200607255762,0.3490693193504736,0.3199583805717429,0.35069883237792876,0.44895541923742854,0.41116178126635267,0.5547907768580846,0.6172750134346131,0.5651231546292638,0.5633035272133413,0.6400916305917808,0.6470651123322336,0.7092230803389534,0.7217477162756538,0.730516589912826,0.7429207014808491,0.6812973132574095,0.7361883970358208,0.8273244770236221,0.8685618147422741,1.0024872617535618,0.9267630035630783,1.1071486887471862,1.0490002914058203,1.0175927085829313,1.3053408706739489,1.2185878090492053,1.0880937470440348,1.2083850639761098,1.3529022839704836
2,0.05993324061196106,0.09361030143907355,0.16725717607287072,0.18533384657516594,0.2601677856811709,0.3261139967381946,0.3811575304490363,0.4141425940608782,0.38166588166434856,0.48297313810007797,0.4858268406338678,0.5541198234297396,0.5709801149451856,0.5408825381333019,0.5813885657319798,0.6244487828857784,0.5842306185148,0.6822511663608716,0.811942526404121,0.686483627469235,0.8750911644778162,0.8657185508058539,0.9016094555578452,0.8443584681004286,0.9383641901593156,0.9349431439757674,1.0532082783801355,1.0800071456063431,1.132806232475399,1.1731964137814797,1.1471961783971187,1.2519437724474511,1.2082159439862448,1.233855578280601
3,0.02310999900655673,0.10532516779431664,0.17038914241953676,0.20378031019048612,0.20403870787669706,0.39026337154455826,0.40792805936926657,0.38821649395145874,0.37049667027018984,0.48196121055260865,0.5016952777048768,0.49108215214954515,0.426551638050911,0.5358263840354505,0.5976185525669774,0.6431551539808701,0.6981101742452195,0.7196807850175146,0.7268142152211159,0.6681746989943299,0.7562537289968929,0.8939744123328159,0.9270647829224556,0.9222886662318931,0.9238667398706996,1.0150387703137316,1.0332455560762337,0.9884488701264104,1.1253556977456118,1.1726021950191863,1.2199116532721035,1.2798855120922314,1.2908717411951087,1.2181757180726356
4,0.05628971099942007,0.11788584641366977,0.15943029801763017,0.1909065861478556,0.21253877694623177,0.30708642238707856,0.36634513604663266,0.35425270498592076,0.41504652128714553,0.5532591124475895,0.49551403642468744,0.5171174615080132,0.6162558002713229,0.5918292702196315,0.6417314726970492,0.647127416648178,0.6881668694806585,0.7044195871749467,0.7462433834224746,0.7403161244529038,0.8708645580414013,0.9126553260924601,0.8931363628045743,0.885823309124969,0.969666364303169,0.9392486217326449,0.9656166635743919,1.0699070735954062,0.9900653885318988,1.1347548073442388,0.9866436633039544,1.2575915110039302,1.1675076395234674,1.224786868278445
5,0.04597936400541273,0.08448859269282814,0.1380951735936594,0.19473358067568644,0.2355487054776527,0.30726952258521806,0.34934491858614997,0.3654791878477216,0.4449311708426891,0.5269176372109438,0.4615338925858564,0.4837233775728138,0.5905004480429168,0.5476873986973785,0.7320314194999814,0.6385178623979553,0.6594426673866091,0.605362330454728,0.7901209358554055,0.8098623313906604,0.6812895892585833,0.7494361397035972,0.954122754836213,0.8626908792260319,0.8827955388925406,1.1088272201606466,0.9582296231797391,0.9833397351295364,1.2185169580173785,1.1737062184496991,1.0795324527668937,1.3497716527975796,1.205360426809675,1.2692444746750204
6,0.05665208000751244,0.10617718418438307,0.1618178349181119,0.2052080128392775,0.2404123034978606,0.26119453353751765,0.35704664450815093,0.3337312599793742,0.465500882359577,0.4909717370139486,0.42788357022904927,0.5238006258445909,0.5678056373208594,0.594309600360848,0.668613380399983,0.6523404714292266,0.6778501238998774,0.8204472823476774,0.6827160236831279,0.8689131121249244,0.7257648483787223,0.923724838800577,0.8638089369551074,0.8985925718541398,0.8770805123330984,0.9178708860219039,0.9738949223447696,1.1471728967051886,1.1411714355483424,1.2270396475972862,1.2828070945836236,1.176814826966199,1.3048815767846136,1.2558635463823382
7,0.05628971099942007,0.11184300098600806,0.14595746420021116,0.1750934962936924,0.2625843169746341,0.3115866541817028,0.3120210636915406,0.3451018712204578,0.5036126754562743,0.46142454127128113,0.4325933623277839,0.5203737802737846,0.5533381891315078,0.5570382139258186,0.6393430535889867,0.6581123696358733,0.630413763156573,0.7139271616474128,0.7383660141389958,0.6715424848244534,0.8221794367960154,0.8262125348478432,0.9244470420572948,0.8911531485981072,0.8844893965494403,0.9287895902459672,0.9299178962137439,1.1541880685677819,1.1452954100990242,1.0980118236219127,1.0956300491147326,1.1734856696915739,1.3870456505490505,1.451567631001689
8,0.016656169282733956,0.07118689712858184,0.17838994991705012,0.23803857970726539,0.2295048626798487,0.24206164703077934,0.3206820873988088,0.34712593401899117,0.44655049622971904,0.46206513527934495,0.46879025404637087,0.5756851418027813,0.5683350011539227,0.5955062514877836,0.6028061044795141,0.6263804118952278,0.6345657421560174,0.7502345884044428,0.7127861358880182,0.7375844863924333,0.8847982488930202,0.803077884949254,0.9031233116789991,0.9084548501061491,0.8719656586650897,0.9936514041237289,1.150993368627194,1.1871677500744175,1.1033151357476552,1.1728151840777945,1.2307208075494778,1.23739700175108,1.3324875544732604,1.2090166627161745
9,0.057855488774091,0.07737991118617127,0.16380612195407745,0.1099416786552728,0.25354975972223226,0.29589977852883637,0.31383640910149835,0.37125426205594136,0.48273945331953955,0.3993075144845489,0.4117597541999207,0.5702257917133127,0.5228923838456794,0.6106844858891026,0.6896498202154183,0.6955049890983247,0.6415715655921534,0.7120345818535805,0.7547081118879135,0.6986161083430874,0.7138358738329619,0.8408619572371051,0.8421530759315655,0.9261510530291286,0.9610586401206885,1.0379820277262042,1.1291196620146238,1.0425635485620606,1.1123984060497625,1.1383547746610148,1.1606630187145643,1.1632936904512636,1.1378241445532902,1.1349414384926237
10,0.04684834256737722,0.09057129905277403,0.10759915403946527,0.2103098542833821,0.19667131413106512,0.29376824253679823,0.2294661168889748,0.41172449388759463,0.4374128490790092,0.4701192947098168,0.5172397317657051,0.538970564045562,0.5763464284970781,0.5251340146456511,0.6782238419121475,0.6862164495913907,0.6106215736730168,0.7523712187621484,0.7341201673528159,0.7351880701878487,0.8478413536009386,0.8640939213008303,0.7930711375249694,0.9239526841228843,0.9710701434730417,1.1133694207106721,1.12652423245451,1.209651810460121,1.2171927599433483,1.1234188112935677,1.2506392418338317,1.2042404391801655,1.2744048757064188,1.1822310921900772
