Cenário,Carteira 1,Carteira 2,Carteira 3,Carteira 4,Carteira 5,Carteira 6,Carteira 7,Carteira 8,Carteira 9,Carteira 10,Carteira 11,Carteira 12,Carteira 13,Carteira 14,Carteira 15,Carteira 16,Carteira 17,Carteira 18,Carteira 19,Carteira 20,Carteira 21,Carteira 22,Carteira 23,Carteira 24,Carteira 25,Carteira 26,Carteira 27,Carteira 28,Carteira 29,Carteira 30,Carteira 31,Carteira 32,Carteira 33,Carteira 34
1,0.11810823500974435,0.15886997809288905,0.4610888026629003,0.3246952906277455,0.9242366981154493,0.23120200332230528,0.3273247899517627,0.22987327995242524,0.9779584432277713,0.6760497410753489,0.2269655533599913,0.34341358752862344,0.8478574316548123,0.5850393538691464,1.5239094315480974,0.546454031752314,1.1231746685310229,0.7030668909453999,1.517413586121873,1.3079654543514816,0.7551729289088354,0.9388328137949841,1.478502835460345,0.859412264839478,1.6163765310676603,2.266063723619822,2.187653742623209,1.1688127648765694,2.2692668967314917,0.9734891950741594,2.1147324646192054,1.2288119280008876,3.0030638031695287,1.4279222107092346
2,0.38211239015419335,0.044049643461761136,0.33321046506300106,0.37016658318310924,0.31679237535730237,0.6460539184638024,0.6871343793893405,0.2814007084991269,0.5098163894066587,0.22873696298833943,0.37969382384094363,0.9042847608679867,0.3475285486131406,0.5119594945709786,0.5102993746833232,0.9274231535073887,0.815002377634134,0.6757719523388307,0.5962913178635042,0.5648695355524418,0.6948961034162966,0.895965926960801,1.8627091011896633,1.5544378960218896,1.6471526317444085,0.7602911992318365,2.123020219153629,0.917382782438424,0.9461925805874571,0.9796174665437719,1.9866022015902312,2.1289027826482014,2.2783672001660267,1.4024480191356579
3,0.10889645313298275,0.14328889627357963,0.2540714473915928,0.4652427847754246,0.6272942203475955,0.2945750243202039,0.4556802611845359,0.6066389523838484,0.6032609484836342,0.5557954349619567,0.3825161341559822,0.5158289179245135,0.3283551327919403,0.6957639130067647,1.3128810055888893,0.6483978006475322,0.7518464062977199,0.5902965030191055,1.2608290098748474,1.3178656056432352,1.2038851586986192,0.6033562948530538,1.5665624125994289,0.9986205646632472,1.8196553236454605,1.7711097000051645,0.8676867987071458,0.8998141233799486,0.9210091755766198,1.20183759380664,3.326906697704865,2.7468609330504017,1.187687160139109,2.568491614290837
4,0.10300176253746977,0.5502000873174933,0.4769174168490144,0.26135588019358263,0.5442800483254597,0.2312475460351332,0.28077383744858697,0.24700742254761907,0.8700941976793851,0.30763311977891145,0.3155834158288475,0.5957155906929182,0.3380464683664817,0.30613532674549665,0.40220554812585785,0.9231545780043146,0.5142267641345978,0.5903206111079853,1.5737987725690596,1.1331062033638488,1.8562225984269876,0.9697609456995416,1.9306397034287863,1.9523512721170322,0.9394860212571688,2.3279571176168234,0.8769657916634507,1.8530445662904835,0.9480112475061494,2.2155159715939194,2.2586747871235886,2.685906072993568,1.1354625780557557,3.042637479057741
5,0.10300176253746977,0.1205696414027556,0.39864458406664105,0.7881301103014139,0.36315657532815254,0.5135870650940529,0.7588487066184925,0.26064065995051106,0.5457215074546005,0.2919366361116516,0.2533756057322361,0.5532384552036087,0.6858237210049973,0.5903466682520161,0.8800638964691455,0.668779593759995,0.5920685563654121,0.537447258633522,0.7345764771478247,0.7179914754933892,0.8747606046631489,0.8228049622086042,0.8313182225396955,0.9230529071130756,1.0440042931518458,1.5144287500361866,1.7971938360120523,1.844595414267027,0.7538368737961335,0.9391904852482217,1.9308316507455945,1.1020936722778012,2.9646716365766963,2.4338052933084136
6,0.18009135235708804,0.4558670555371156,0.18503772144530034,0.29856900097541345,0.18511485954091794,0.22816384312785692,0.5755136525455403,0.676033326287827,0.2917018940605478,0.6362871151472255,0.632999366269902,0.6371372135883765,0.6837894565092913,0.8249672543706211,0.4405191203230087,0.4741403723645577,1.507641639292227,1.0819125066992383,1.1454740624760098,1.2273301491824058,1.3712130005280032,0.6012611691757744,0.829878590648151,2.073132203191013,0.9779266864113875,0.7555228206956661,1.0469647656973413,0.9104971722907446,1.0396590514129855,0.8812990053894638,1.1785887029518465,2.5826646749433864,3.023541033506795,1.2550974601820535
7,0.15535357404827518,0.2726535769835257,0.41804501207246714,0.2480514256322857,0.25350464517668286,0.2763433474044535,0.6047626255961199,0.373237348936727,0.6242790287018429,0.7350690709496946,0.7986055332426931,0.6552758124135163,0.35575878031010505,0.637727882813693,0.5770690266483247,1.2095112766521814,0.6161107489820438,0.990517297869674,0.5908689544267288,1.4292893766307329,0.707308987734116,1.3743485550918324,1.3725747623538547,2.3650049917534335,1.1780569714503812,2.5377423713231506,1.0667344842040045,1.8205671076212397,0.9907338510841552,2.2259484927314785,1.9549183141195192,2.544262390253111,1.0287367534892593,2.5547549586798297
8,0.06508610884996112,0.1412554978468711,0.17210488152590375,0.333300696747735,0.2610087053231718,0.656339801681088,0.3365647303374506,0.49266262471524275,0.6198482385973828,0.7899038055457513,0.4252245297194378,0.6181011765753843,0.9476591954530881,0.7414818450306091,0.9384060662779964,0.663780482167353,1.5035108107609516,1.2429837641507036,0.8247415603250916,1.158142182862979,0.8310190163849756,1.5135721540716036,0.8424285088671291,1.9697009874500198,0.9353956770382702,2.2219272835673296,2.3444549457943626,2.034086597135446,1.0693862710804107,1.0817695453451313,1.9825286276940426,2.183751894704316,2.447105275642469,1.1819480888803162
9,0.0498847340298176,0.2860223571935818,0.3131307850310614,0.5202152227105364,0.22599242687596416,0.6487973044758477,0.34237017065854486,0.28447734849328193,0.5097104756499097,0.6268092362172608,0.3291446135136328,0.25685315699116573,0.6091859783797343,0.21771121027333393,0.5499883895082275,1.1474277804169009,1.3570781152899074,1.84562423108428,0.7075058325228872,0.5550332265592818,0.7115817876081496,1.4221604222754496,0.821284725456123,2.04088500221644,1.7057633745597272,1.940160187025677,2.3700720551711205,0.7838755431243966,1.117196962528857,0.9900708388944536,2.0719799390336298,1.5163787081297133,1.2803516344038388,3.016249787057253
10,0.07583744598349317,0.23040596057879825,0.538152401625312,0.49565520750276465,0.39344977254773844,0.24932339333134412,0.19553568443915884,0.35341896745430673,0.36965212378704176,0.32647390380778507,0.38131545493159524,0.8448744909127565,0.6381904213293066,0.23022522824652178,0.726925824002336,0.7415740104244488,0.5162543984032822,1.0818937814494993,1.2220216926573244,1.663295891081967,1.8552983468552466,1.5795360416184976,0.7558375241338012,1.0343352268373747,0.8345007663369611,2.163960194167317,2.180896477222506,1.0459085807094837,0.8316185608394231,0.9990638725562375,0.8102748227499628,2.615112135001785,2.6382844807131196,1.4897130891714276
